id;is_pre_order_available;from_time;to_time
1;false;2019-12-26T00:00:56;2019-12-26T07:52:37
2;false;2019-12-25T14:37:46;2019-12-25T15:15:33
3;false;2019-12-25T13:04:40;2019-12-25T16:16:25
4;true;2019-12-26T02:35:26;2019-12-26T07:00:48
5;true;2019-12-25T21:51:29;2019-12-25T19:46:27
6;false;2019-12-25T19:17:41;2019-12-25T16:09:15
7;true;2019-12-25T11:07:56;2019-12-25T22:16:44
8;true;2019-12-26T03:34:42;2019-12-25T22:16:10
9;true;2019-12-25T20:47:46;2019-12-25T14:28:31
10;true;2019-12-25T13:53:44;2019-12-25T21:48:33
