id;delivery_charge;service_charge;order_accept_type;is_inventory_required;is_active
1;81839;80678;Michigan;true;true
2;23476;2173;Delaware indexing;true;false
3;35842;16615;Investor networks Buckinghamshire;false;false
4;25233;95784;Garden pixel;false;false
5;6312;44899;Group heuristic Home Loan Account;false;false
6;92691;36600;Fiji;false;true
7;72657;49536;Liaison purple;false;false
8;53478;90876;Virginia Books FTP;true;true
9;13934;97249;Ergonomic Plastic Car;false;false
10;7072;9686;Granite;true;true
